title,url,description,wikidata_id,inserted_at,updated_at
Dialectic,https://en.wikipedia.org/wiki/Dialectic,Discourse method for resolving disagreement by reasoned argument,Q9453,2020-05-30 20:45:25,2020-05-30 20:45:25
Divide and rule,https://en.wikipedia.org/wiki/Divide_and_rule,Strategy in politics and sociology,Q68951,2020-05-30 20:45:25,2020-05-30 20:45:25
Epistemology,https://en.wikipedia.org/wiki/Epistemology,Branch of philosophy concerned with the nature and scope of knowledge,Q9471,2020-05-30 20:45:25,2020-05-30 20:45:25
Autodidacticism,https://en.wikipedia.org/wiki/Autodidacticism,Independent education without the guidance of masters,Q207650,2020-05-30 20:45:25,2020-05-30 20:45:25
Thomas Hobbes,https://en.wikipedia.org/wiki/Thomas_Hobbes,17th-century English philosopher,Q37621,2020-05-30 20:45:25,2020-05-30 20:45:25
Conflict,https://en.wikipedia.org/wiki/Conflict_,Disambiguation page providing links to topics that could be referred to by the same search term,Q400889,2020-05-30 20:45:25,2020-05-30 20:45:25
FIDO Alliance,https://en.m.wikipedia.org/wiki/FIDO_Alliance,Industry consortium working on authentication mechanisms,Q15731702,2020-05-30 20:45:25,2020-05-30 20:45:25
Max Müller,https://en.wikipedia.org/wiki/Max_M%C3%BCller,German-born philologist and orientalist,Q55068911,2020-05-30 20:45:25,2020-05-30 20:45:25
Big Five personality traits,https://en.wikipedia.org/wiki/Big_Five_personality_traits,Personality model consisting of five broad dimensions of personality,Q378132,2020-05-30 20:45:25,2020-05-30 20:45:25
Critical thinking,https://en.wikipedia.org/wiki/Critical_thinking,The analysis of facts to form a judgment,Q843894,2020-05-30 20:45:25,2020-05-30 20:45:25
Law of triviality,https://en.wikipedia.org/wiki/Law_of_triviality,Focusing on what is irrelevant but easy to understand,Q169899,2020-05-30 20:45:25,2020-05-30 20:45:25
Power distance,https://en.wikipedia.org/wiki/Power_distance,strength of social hierarchy,Q11900227,2020-05-30 20:45:25,2020-05-30 20:45:25
Neoliberalism,https://en.wikipedia.org/wiki/Neoliberalism,Political philosophy that supports economic liberalization,Q162719,2020-05-30 20:45:25,2020-05-30 20:45:25
Epistemology,https://en.wikipedia.org/wiki/Epistemology,Branch of philosophy concerned with the nature and scope of knowledge,Q9471,2020-05-30 20:45:25,2020-05-30 20:45:25
German Question,https://en.m.wikipedia.org/wiki/German_Question,Mid-19th century debate about unification of Germany,Q13522713,2020-05-30 20:45:25,2020-05-30 20:45:25
P versus NP problem,https://en.wikipedia.org/wiki/P_versus_NP_problem,Unsolved problem in computer science,Q746242,2020-05-30 20:45:25,2020-05-30 20:45:25
2 + 2 = 5,https://en.wikipedia.org/wiki/2_%2B_2_%3D_5,Example of Party logic presented in Nineteen Eighty-Four,Q1097227,2020-05-30 20:45:25,2020-05-30 20:45:25
SOLID,https://en.wikipedia.org/wiki/SOLID,Object-oriented programming design principles,Q2583627,2020-05-30 20:45:25,2020-05-30 20:45:25
Middle Way,https://en.wikipedia.org/wiki/Middle_Way,Buddhist doctrine,Q833475,2020-05-30 20:45:25,2020-05-30 20:45:25
Metcalfe,https://en.wikipedia.org/wiki/Metcalfe,Disambiguation page providing links to topics that could be referred to by the same search term,Q421244,2020-05-30 20:45:25,2020-05-30 20:45:25
Effective altruism,https://en.wikipedia.org/wiki/Effective_altruism,Philosophy and social movement that applies evidence and reason to determine the most effective ways to benefit others,Q13489381,2020-05-30 20:45:25,2020-05-30 20:45:25
Attribution bias,https://en.wikipedia.org/wiki/Attribution_bias,The systematic errors made when people evaluate their own and others' behaviors,Q849538,2020-05-30 20:45:25,2020-05-30 20:45:25
Hemingway Special,https://en.m.wikipedia.org/wiki/Hemingway_Special,"Cocktail made of rum, maraschino, grapefruit juice, and lime juice",Q26879521,2020-05-30 20:45:25,2020-05-30 20:45:25
Sacred geometry,https://en.wikipedia.org/wiki/Sacred_geometry,Symbolic and sacred meanings ascibed to certain geometric shapes,Q583915,2020-05-30 20:45:25,2020-05-30 20:45:25
Project Cybersyn,https://en.wikipedia.org/wiki/Project_Cybersyn,Chilean economic project,Q1147211,2020-05-30 20:45:25,2020-05-30 20:45:25
Flynn effect,https://en.wikipedia.org/wiki/Flynn_effect,20th century rise in overall human intelligence,Q508736,2020-05-30 20:45:25,2020-05-30 20:45:25
Osborne effect,https://en.wikipedia.org/wiki/Osborne_effect,The drop in sales of a company prematurely announcing a future product,Q2634790,2020-05-30 20:45:25,2020-05-30 20:45:25
Letter and spirit of the law,https://en.wikipedia.org/wiki/Letter_and_spirit_of_the_law,Concepts in philosophy of law,Q6533542,2020-05-30 20:45:25,2020-05-30 20:45:25
Syd Mead,https://en.wikipedia.org/wiki/Syd_Mead,American concept artist,Q940474,2020-05-30 20:45:25,2020-05-30 20:45:25
Synaptic pruning,https://en.wikipedia.org/wiki/Synaptic_pruning,Process of synapse elimination that occurs between early childhood and the onset of puberty,Q2124069,2020-05-30 20:45:25,2020-05-30 20:45:25
Positive psychology,https://en.m.wikipedia.org/wiki/Positive_psychology,Scientific study of the positive aspects of the human experience that make life worth living,Q718809,2020-05-30 20:45:25,2020-05-30 20:45:25
Nicene Creed,https://en.wikipedia.org/wiki/Nicene_Creed,Statement of belief adopted at the First Ecumenical Council in 325,Q207937,2020-05-30 20:45:25,2020-05-30 20:45:25
Conway's law,https://en.wikipedia.org/wiki/Conway%27s_law,Adage stating that organizations design systems that mirror their own communication structure,Q1518855,2020-05-30 20:45:25,2020-05-30 20:45:25
First,https://en.wikipedia.org/wiki/First,Disambiguation page providing links to topics that could be referred to by the same search term,Q351401,2020-05-30 20:45:25,2020-05-30 20:45:25
Pumpkin ale,https://en.wikipedia.org/wiki/Pumpkin_ale,Style of beer,Q16878201,2020-05-30 20:45:25,2020-05-30 20:45:25
Folk devil,https://en.wikipedia.org/wiki/Folk_devil,A person or group of people who are portrayed in folklore or the media as outsiders and deviant,Q5464460,2020-05-30 20:45:25,2020-05-30 20:45:25
Social stratification,https://en.wikipedia.org/wiki/Social_stratification,population with similar characteristics in a society,Q841628,2020-05-30 20:45:25,2020-05-30 20:45:25
Systems theory,https://en.wikipedia.org/wiki/Systems_theory,Interdisciplinary study of systems,Q269699,2020-05-30 20:45:25,2020-05-30 20:45:25
Reactance (psychology),https://en.m.wikipedia.org/wiki/Reactance_(psychology),unpleasant emotion experienced when behavioral freedom is threatened,Q746935,2020-05-30 20:45:25,2020-05-30 20:45:25
Enneagram of Personality,https://en.wikipedia.org/wiki/Enneagram_of_Personality,Of Oscar Ichazo and Claudio Naranjo,Q273047,2020-05-30 20:45:25,2020-05-30 20:45:25
List,https://en.wikipedia.org/wiki/List_,Disambiguation page providing links to topics that could be referred to by the same search term,Q162032,2020-05-30 20:45:25,2020-05-30 20:45:25
Seattle Freeze,https://en.wikipedia.org/wiki/Seattle_Freeze,"cultural label of Seattle, WA as a place it's hard to make friends",Q7442101,2020-05-30 20:45:25,2020-05-30 20:45:25
Slavoj Žižek,https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,Slovene philosopher,Q184750,2020-05-30 20:45:25,2020-05-30 20:45:25
Disinformation,https://en.wikipedia.org/wiki/Disinformation,False information spread deliberately to deceive,Q189656,2020-05-30 20:45:25,2020-05-30 20:45:25
Flow,https://en.wikipedia.org/wiki/Flow_,Disambiguation page providing links to topics that could be referred to by the same search term,Q8961886,2020-05-30 20:45:25,2020-05-30 20:45:25
Stanford marshmallow experiment,https://en.m.wikipedia.org/wiki/Stanford_marshmallow_experiment,Study on delayed gratification by psychologist Walter Mischel,Q1523836,2020-05-30 20:45:25,2020-05-30 20:45:25
Scientific method,https://en.wikipedia.org/wiki/Scientific_method,"Interplay between observation, experiment and theory in science",Q46857,2020-05-30 20:45:25,2020-05-30 20:45:25
Bus factor,https://en.wikipedia.org/wiki/Bus_factor,A measurement of the risk of losing key technical experts,Q1812883,2020-05-30 20:45:25,2020-05-30 20:45:25
Theory of mind,https://en.wikipedia.org/wiki/Theory_of_mind,Ability to attribute mental states to oneself and others,Q639219,2020-05-30 20:45:25,2020-05-30 20:45:25
Working memory,https://en.wikipedia.org/wiki/Working_memory,Cognitive system for temporarily holding information,Q11337567,2020-05-30 20:45:25,2020-05-30 20:45:25
Psychometrics,https://en.wikipedia.org/wiki/Psychometrics,theory and technique of psychological measurement,Q506132,2020-05-30 20:45:25,2020-05-30 20:45:25
Unit testing,https://en.wikipedia.org/wiki/Unit_testing,Software testing method by which individual units of source code are validated,Q907375,2020-05-30 20:45:25,2020-05-30 20:45:25
The Emperor's New Clothes,https://en.m.wikipedia.org/wiki/The_Emperor's_New_Clothes,Fairytale by Hans Christian Andersen,Q11866,2020-05-30 20:45:25,2020-05-30 20:45:25
Mental model,https://en.wikipedia.org/wiki/Mental_model,Explanation of someone's thought process about how something works in the real world,Q1851867,2020-05-30 20:45:25,2020-05-30 20:45:25
Volstead Act,https://en.wikipedia.org/wiki/Volstead_Act,An act to prohibit intoxicating beverages in the USA,Q1613068,2020-05-30 20:45:25,2020-05-30 20:45:25
Thomas Crapper,https://en.wikipedia.org/wiki/Thomas_Crapper,British plumber,Q2987116,2020-05-30 20:45:25,2020-05-30 20:45:25
Set,https://en.wikipedia.org/wiki/Set,Disambiguation page providing links to topics that could be referred to by the same search term,Q235028,2020-05-30 20:45:25,2020-05-30 20:45:25
Numeral system,https://en.wikipedia.org/wiki/Numeral_system,Notation for expressing numbers,Q122653,2020-05-30 20:45:25,2020-05-30 20:45:25
Cognitive dissonance,https://en.m.wikipedia.org/wiki/Cognitive_dissonance,"Psychological stress experienced by an individual who holds two or more contradictory beliefs, ideas, or values at the same time",Q209722,2020-05-30 20:45:25,2020-05-30 20:45:25
Web standards,https://en.m.wikipedia.org/wiki/Web_standards,Technical standard,Q1153289,2020-05-30 20:45:25,2020-05-30 20:45:25
Absurdism,https://en.wikipedia.org/wiki/Absurdism,"Conflict between the human tendency to seek inherent value and meaning in life and the human inability to find any in a purposeless, meaningless or chaotic and irrational universe",Q333625,2020-05-30 20:45:25,2020-05-30 20:45:25
Reciprocity,https://en.wikipedia.org/wiki/Reciprocity_,Disambiguation page providing links to topics that could be referred to by the same search term,Q1350049,2020-05-30 20:45:25,2020-05-30 20:45:25
Attachment theory,https://en.wikipedia.org/wiki/Attachment_theory,Psychological ethological theory about human relationships,Q909609,2020-05-30 20:45:25,2020-05-30 20:45:25
Coordinate system,https://en.wikipedia.org/wiki/Coordinate_system,System for determining the position of a point by a tuple of scalars,Q11210,2020-05-30 20:45:25,2020-05-30 20:45:25
Single point of failure,https://en.wikipedia.org/wiki/Single_point_of_failure,"A part of a system that, if it fails, will stop the entire system from working",Q1363179,2020-05-30 20:45:25,2020-05-30 20:45:25
Curse of knowledge,https://en.m.wikipedia.org/wiki/Curse_of_knowledge,Cognitive bias of assuming that others have the same background to understand,Q2901014,2020-05-30 20:45:25,2020-05-30 20:45:25
Champurrado,https://en.wikipedia.org/wiki/Champurrado,Mexican chocolate beverage,Q2955932,2020-05-30 20:45:25,2020-05-30 20:45:25
Populism,https://en.wikipedia.org/wiki/Populism,"Political philosophy that supports needs and desires of ""the people"" over those of ""the powerful.""",Q180490,2020-05-30 20:45:25,2020-05-30 20:45:25
Determinism,https://en.wikipedia.org/wiki/Determinism,The philosophical belief that all events are determined completely by previously existing causes,Q131133,2020-05-30 20:45:25,2020-05-30 20:45:25
Shavasana,https://en.wikipedia.org/wiki/Shavasana,relaxed reclining posture in hatha yoga,Q2019129,2020-05-30 20:45:25,2020-05-30 20:45:25
Post hoc ergo propter hoc,https://en.wikipedia.org/wiki/Post_hoc_ergo_propter_hoc,Fallacy of assumption of causality based on sequence of events,Q732404,2020-05-30 20:45:25,2020-05-30 20:45:25
Category theory,https://en.wikipedia.org/wiki/Category_theory,Branch of mathematics,Q217413,2020-05-30 20:45:25,2020-05-30 20:45:25
Epigenetics,https://en.m.wikipedia.org/wiki/Epigenetics,study of heritable DNA and histone modifications that affect the expression of a gene without a change in its nucleotide sequence.,Q26939,2020-05-30 20:45:25,2020-05-30 20:45:25
Latinx,https://en.wikipedia.org/wiki/Latinx,U.S. gender-neutral term for people of Latin American heritage,Q30324002,2020-05-30 20:45:25,2020-05-30 20:45:25
Anti,https://en.wikipedia.org/wiki/Anti,Disambiguation page providing links to topics that could be referred to by the same search term,Q346504,2020-05-30 20:45:25,2020-05-30 20:45:25
Social democracy,https://en.wikipedia.org/wiki/Social_democracy,political ideology within the socialist movement,Q121254,2020-05-30 20:45:25,2020-05-30 20:45:25
XY Problem,https://en.wikipedia.org/wiki/XY_problem,,,2020-07-20 03:50:39,2020-07-20 03:50:39
Dead Cat Strategy,https://en.wikipedia.org/wiki/Dead_cat_strategy,,,2020-08-10 05:34:06,2020-08-10 05:34:06
Hispanic Paradox,https://en.wikipedia.org/wiki/Hispanic_paradox,,,2020-08-17 03:21:40,2020-08-17 03:21:40
Hegra (Mada'in Salih),https://en.wikipedia.org/wiki/Hegra_(Mada'in_Salih),,,2020-08-17 03:22:22,2020-08-17 03:22:22
Wowser,https://en.wikipedia.org/wiki/Wowser,,,2020-08-17 07:16:43,2020-08-17 07:16:43
Benford's Law,https://en.wikipedia.org/wiki/Benford's_law,,,2020-08-17 07:17:08,2020-08-17 07:17:08
"Volatility, uncertainty, complexity and ambiguity","https://en.wikipedia.org/wiki/Volatility,_uncertainty,_complexity_and_ambiguity",,,2020-08-17 23:37:29,2020-08-17 23:37:29
Meisner technique,https://en.wikipedia.org/wiki/Meisner_technique,,,2020-09-08 20:55:40,2020-09-08 20:55:40
Jonah complex,https://en.wikipedia.org/wiki/Jonah_complex,,,2020-09-13 01:17:07,2020-09-13 01:17:07
Superior orders,https://en.wikipedia.org/wiki/Superior_orders,,,2020-09-17 01:33:53,2020-09-17 01:33:53
Antifeminism,https://en.wikipedia.org/wiki/Antifeminism,,,2020-10-11 23:52:13,2020-10-11 23:52:13
Modern Monetary Theory,https://en.wikipedia.org/wiki/Modern_Monetary_Theory,,,2020-10-15 06:15:55,2020-10-15 06:15:55
Locus ofcontrol,https://en.wikipedia.org/wiki/Locus_of_control,,,2020-10-21 21:37:53,2020-10-21 21:37:53
Locus of control,https://en.wikipedia.org/wiki/Locus_of_control,,,2020-10-21 21:37:54,2020-10-21 21:37:54
Self-efficacy,https://en.wikipedia.org/wiki/Self-efficacy,,,2020-10-21 21:38:06,2020-10-21 21:38:06
Acceptance and commitment therapy,https://en.wikipedia.org/wikiAcceptance_and_commitment_therapy,,,2020-10-21 21:38:29,2020-10-21 21:38:29
Reification fallacy,https://en.wikipedia.org/wiki/Reification_(fallacy),,,2020-10-21 21:38:57,2020-10-21 21:38:57
Realpolitik,https://en.wikipedia.org/wiki/Realpolitik,,,2020-11-11 08:50:12,2020-11-11 08:50:12
Stockdale Paradox,https://en.wikipedia.org/wiki/James_Stockdale#The_Stockdale_Paradox,,,2020-12-15 09:45:10,2020-12-15 09:45:10
Overton Window,https://en.wikipedia.org/wiki/Overton_window,,,2020-12-15 09:45:30,2020-12-15 09:45:30
Shouting fire in a crowded theatre,https://en.wikipedia.org/wiki/Shouting_fire_in_a_crowded_theater,,,2020-12-16 20:06:22,2020-12-16 20:06:22
Doublespeak,https://en.wikipedia.org/wiki/Doublespeak,,,2021-01-26 06:51:04,2021-01-26 06:51:04
Vulture_fund,https://en.wikipedia.org/wiki/Vulture_fund,,,2021-01-28 21:06:33,2021-01-28 21:06:33
